"Url"	"Sisu"
"http://info.raad.tartu.ee/webaktid.nsf/web/viited/VOLO2016101300394"	"1. Arvata välja linnavolikogu arengu- ja planeerimiskomisjoni koosseisust Triin Anette Kaasik.2. Kinnitada linnavolikogu arengu- ja planeerimiskomisjoni liikmeks Ragnar Kekkonen.3. Otsus jõustub teatavakstegemisest.Vladimir Šokman"
"http://info.raad.tartu.ee/webaktid.nsf/web/viited/VOLO2016101300393"	"1. Lubada linnavalitsusel korraldada riigihange avaliku bussiliiniveo teenuse pakkuja leidmiseks Tartu linnas kümneks aastaks. 2. Otsus jõustub viiendal päeval pärast vastuvõtmist.Vladimir Šokman"
"http://info.raad.tartu.ee/webaktid.nsf/web/viited/VOLO2016101300392"	"1. Lubada linnavalitsusel korraldada riigihange tugiisikuteenuse osutamiseks raske ja sügava puudega lastele aastateks 2017-2019. 2. Otsus jõustub viiendal päeval pärast vastuvõtmist.Vladimir Šokman"
"http://info.raad.tartu.ee/webaktid.nsf/web/viited/VOLO2016101300391"	"1. Lubada linnavalitsusel korraldada perekülastusteenuse riigihange aastateks 2017-2019.2. Otsus jõustub viiendal päeval pärast vastuvõtmist.Vladimir Šokman"
"http://info.raad.tartu.ee/webaktid.nsf/web/viited/VOLO2016101300390"	"1. Lubada linnavalitsusel sõlmida äriruumi üürileping Tartus Narva mnt 177 hoones asuvate ruumide üldpinnaga 497 m2 kasutusele võtmiseks Tartu Linnamuuseumi kogude hoidla- ja tööruumidena alates 1. novembrist 2016. a tähtajaga kümme aastat, üüriga 5 eurot/m2 kuus.2. Otsus jõustub viiendal päeval pärast vastuvõtmist.Vladimir Šokman"
"http://info.raad.tartu.ee/webaktid.nsf/web/viited/VOLO2016091500389"	"1. Taotleda Tartu linna munitsipaalomandisse kohaliku omavalitsusüksuse ülesannete täitmiseks ja arenguks vajaliku maana Vaksali tänav T45 maaüksus pindalaga 3935 m², maakasutuse sihtotstarbega transpordimaa (L). 2. Linnavalitsusel esitada taotlus koos kõigi vajalike lisamaterjalidega keskkonnaministrile punktis 1 nimetatud maade munitsipaliseerimiseks. 3. Otsus jõustub viiendal päeval pärast vastuvõtmist.Vladimir Šokman"
"http://info.raad.tartu.ee/webaktid.nsf/web/viited/VOLO2016091500388"	"1. Taotleda maareformi seaduse § 28 lg 1 p 4 alusel Tartu linna munitsipaalomandisse sotsiaalmaana  Timuti tn 56 maaüksus pindalaga 10 476 m², maakasutuse sihtotstarbega üldkasutatav maa (Üm).2. Taotleda maareformi seaduse § 28 lg 1 p 10 alusel Tartu linna munitsipaalomandisse transpordimaana munitsipaalomandis oleva maaga piirnev ja liitmiseks sobiv Aardla tänav T26 maaüksus pindalaga 467 m², maakasutuse sihtotstarbega transpordimaa (L).3. Taotleda maareformi seaduse § 28 lg 1 p 10 alusel Tartu linna munitsipaalomandisse transpordimaana munitsipaalomandis oleva maaga piirnev ja liitmiseks sobiv Vaksali tänav T36 maaüksus pindalaga 21 m², maakasutuse sihtotstarbega transpordimaa (L).4. Otsus jõustub viiendal päeval pärast vastuvõtmist.Vladimir Šokman"
"http://info.raad.tartu.ee/webaktid.nsf/web/viited/VOLO2016091500387"	"1. Lubada Tartu linnavalitsusel korraldada riigihange Tartu linna haldushoonete koristusteenuse ostmiseks perioodil 01.01.2017 - 31.12.2019. Riigihankega ostetakse koristusteenust järgmistele haldushoonetele: Jaani 7, raekoda, Raekoja plats 3, Raekoja plats 12, Küüni 1, Küüni 3, Küüni 5, Kaunase pst 22, Ülikooli 11 ja Küütri 3.2. Otsus jõustub viiendal päeval pärast vastuvõtmist.Vladimir Šokman"
"http://info.raad.tartu.ee/webaktid.nsf/web/viited/VOLO2016091500386"	"1. Lubada linnavalitsusel korraldada riigihange Tartu linnale vara- ja üldise tsiviilvastutuskindlustuse ostmiseks perioodil 01.01.2017. a kuni 31.12.2019. a.2. Otsus jõustub viiendal päeval pärast vastuvõtmist.Vladimir Šokman"
"http://info.raad.tartu.ee/webaktid.nsf/web/viited/VOLO2016091500385"	"1. Lubada linnavalitsusel korraldada riigihange ""Autokütuse ostmine 01.01.2017. a kuni 31.12.2019. a"" raamlepingu sõlmimiseks Tartu Linnavalitsuse struktuuriüksustele ja linnavalitsuse hallatavatele asutustele autokütuse (autobensiin oktaanarvuga 95 ja 98 ning diislikütus) ostmiseks.2. Otsus jõustub viiendal päeval pärast vastuvõtmist.Vladimir Šokman"
"http://info.raad.tartu.ee/webaktid.nsf/web/viited/VOLO2016091500384"	"1. Lubada linnavalitsusel korraldada väljakuulutamiseta läbirääkimistega riigihange L. Koidula ja J. V. Jannseni skulptuuri rajamiseks ja sellega seotud linnaväljaku tööprojekti koostamiseks.2. Otsus jõustub viiendal päeval pärast vastuvõtmist.Vladimir Šokman"
"http://info.raad.tartu.ee/webaktid.nsf/web/viited/VOLO2016091500383"	"1. Kinnitada häältelugemiskomisjoni protokoll nr 3 linnavolikogu hariduskomisjoni aseesimehe valimise kohta ning lugeda valituks linnavolikogu hariduskomisjoni aseesimeheks Ene Ergma.2. Otsus jõustub teatavakstegemisest.Vladimir Šokman"
"http://info.raad.tartu.ee/webaktid.nsf/web/viited/VOLO2016091500382"	"1. Kinnitada hariduskomisjoni liikmeks:1.1. Ene Ergma;1.2. Margot Fjuk;1.3. Jelena Frunze;1.4. Helmer Jõgi;1.5. Ragnar Kekkonen;1.6. Tiiu Laan;1.7. Mihkel Lees;1.8. Arvo Lehemets;1.9. Ott Maidre;1.10. Toomas Mälksoo;1.11. Märt Põder;1.12. Evert Rööpson;1.13. Vladimir Šokman;1.14. Peeter Tulviste.2. Otsus jõustub teatavakstegemisest.Vladimir Šokman"
"http://info.raad.tartu.ee/webaktid.nsf/web/viited/VOLO2016091500381"	"1. Lubada linnavalitsusel korraldada riigihange Tartu ühistranspordi liinivõrgu analüüsimiseks ja  optimeerimiseks.2. Otsus jõustub viiendal päeval pärast vastuvõtmist.Vladimir Šokman"
"http://info.raad.tartu.ee/webaktid.nsf/web/viited/VOLO2016091500380"	"1. Lubada linnavalitsusel korraldada riigihange Kummeli tänava rekonstrueerimiseks finantseerimisega 2017. aasta eelarvest.2.  Otsus jõustub viiendal päeval pärast vastuvõtmist.Vladimir Šokman"
"http://info.raad.tartu.ee/webaktid.nsf/web/viited/VOLO2016091500379"	"1. Lubada linnavalitsusel korraldada vältimatu sotsiaalabi teenuse riigihange aastateks 2017-2019. 2. Otsus jõustub viiendal päeval pärast vastuvõtmist.Vladimir Šokman"
"http://info.raad.tartu.ee/webaktid.nsf/web/viited/VOLO2016091500378"	"1. Lubada linnavalitsusel korraldada viipekeele tõlketeenuse riigihange aastateks 2017-2018. 2. Otsus jõustub viiendal päeval pärast vastuvõtmist.Vladimir Šokman"
"http://info.raad.tartu.ee/webaktid.nsf/web/viited/VOLO2016091500377"	"1. Lugeda Toomas Jürgensteini hariduskomisjoni esimehe volitused lõppenuks seoses tema volikogu liikme volituste peatumisega 16. juunist 2016. aastast. 2. Kinnitada häältelugemiskomisjoni protokoll nr 2 ning lugeda valituks linnavolikogu hariduskomisjoni esimeheks Piret Uluots.3. Otsus jõustub teatavakstegemisest.Vladimir Šokman"
