"Url"	"Sisu"
"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/GF7E9E21C33931C83C225802C002D9C97?OpenDocument"	"1. esitada linnavolikogule otsuse ""Loa andmine avaliku bussiliiniveo riigihanke korraldamiseks"" eelnõu;2. ettekandjaks linnavolikogus määrata abilinnapea Valvo Semilarski."
"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/GD42AEABC8CA2A5C6C22580190048653B?OpenDocument"	"Kiita heaks ja esitada Tartu Linnavolikogule otsuse ""Loa andmine riigihanke ""Tugiisku teenus 2017-2019"" korraldamiseks"" eelnõu.2. Ettekandjaks linnavolikogus määrata abilinnapea Artjom Suvorov."
"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/G05BC6E0E3C2922D5C225801900480261?OpenDocument"	"Kiita heaks ja esitada Tartu Linnavolikogule otsuse ""Loa andmine riigihanke ""Perekülastusteenus 2017-2020"" korraldamiseks"" eelnõu.2. Ettekandjaks linnavolikogus määrata abilinnapea Artjom Suvorov."
"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/G6E5DB8DB31897784C2257FCA002A0493?OpenDocument"	"1. kiita heaks ja esitada Tartu Linnavolikogule otsuse ""Loa andmine Eesti Rahva Muuseumiga äriruumi üürilepingu sõlmimiseks"" eelnõu;2. ettekandjaks linnavolikogus määrata abilinnapea Tiia Teppan."
"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/GAB2143660AB15E7FC2257FD10052166B?OpenDocument"	"1. kiita heaks ja esitada Tartu Linnavolikogule otsuse ""Maa-ala Vaksali tänav T45 munitsipaalomandisse taotlemine"" eelnõu;2. ettekandjaks linnavolikogus määrata ablinnapea Jarno Laur."
"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/GE4E65F13B6C43FB7C2257FD2002CE807?OpenDocument"	"1. kiita heaks ja esitada Tartu Linnavolikogule otsuse ""Maa-alade Timuti tn 56, Aardla tänav T26 ja Vaksali tänav T36 munitsipaalomandisse taotlemine"" eelnõu.2. ettekandjaks linnavolikogus määrata abilinnapea Jarno Laur."
"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/G9E96ABCD0090F73CC225800A002F5ECA?OpenDocument"	"1. kiita heaks ja esitada Tartu Linnavolikogule otsuse ""Loa andmine riigihanke ""Tartu  linna haldushoonete  koristusteenuse ostmine 01.01.2017.a  - 31.12.2019"" korraldamiseks"" eelnõu;2. ettekandjaks linnavolikogus määrata abilinnapea Jaan Õunapuu."
"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/G1F6EC47BA1E6CE02C225800A0040D24A?OpenDocument"	"1. kiita heaks ja esitada Tartu Linnavolikogule otsuse ""Loa andmine riigihanke ""Tartu linnale vara- ja üldise tsiviilvastutuskindlustuse ostmine 01.01.2017 - 31.12.2019"" korraldamiseks"" elnõu. 2. Ettekandjaks linnavolikogus määrata abilinnapea Jaan Õunapuu."
"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/G671C41802D43EDE9C225800A0038833C?OpenDocument"	"1. Kiita heaks ja esitada Tartu Linnavolikogule otsuse ""Loa andmine riigihanke              ""Autokütuse ostmine 01.01.2017. a kuni 31.12.2019. a"" korraldamiseks"" eelnõu.2. ettekandjaks linnavolikogus määrata abilinnapea Jaan Õunapuu.3. linnavarade osakonnal korraldada linnavolikogult loa saamisel riigihange autokütuse ostmiseks;4. kõigil linnavalitsuse struktuuriüksustel ja hallatavatel asutustel on kohustus sõlmida autokütuse ostmiseks hankeleping linnavarade osakonna poolt korraldataval riigihankel edukaks tunnistatava pakkumuse teinud pakkujaga riigihanke käigus sõlmitud raamlepingu tingimustel. Struktuuriüksustel tuleb käesolev otsus edastada kõigile enda hallatavatele asutustele. Riigihanke raamlepingu sõlmimisest ja hanke tulemustest informeerib linnavarade osakond täiendavalt."
"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/GE20482006EEAE671C225801A002CAA20?OpenDocument"	"1. kiita heaks ja esitada Tartu Linnavolikogule otsuse ""Loa andmine L. Koidula ja J.V. Jannseni platsi tööprojekti koostamise ja skulptuuri rajamise väljakuulutamiseta läbirääkimistega hanke korraldamiseks"" eelnõu.2. ettekandjaks linnavolikogus määrata abilinnapea Jarno Laur."
"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/G7CE9DFC1E32BE45AC2257FF5002710DB?OpenDocument"	"1. kiita heaks ja esitada Tartu Linnavolikogule otsuse ""Loa andmine Tartu ühistranspordi liinivõrgu analüüsi teostamiseks ja liinivõrgu optimeerimiseks riigihanke korraldamiseks"" eelnõu;2. ettekandjaks linnavolikogus määrata abilinnapea Valvo Semilarski."
"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/G98E247188F80E16AC2258005002D23AC?OpenDocument"	"1. kiita heaks ja esitada Tartu Linnavolikogule otsuse ""Loa andmine riigihanke korraldamiseks"" eelnõu;2. ettekantjaks linnavolikogus määrata abilinnapea Valvo Semilarski."
"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/G08FD8E0690EC1792C225801900473EEF?OpenDocument"	"Kiita heaks ja esitada Tartu Linnavolikogule otsuse ""Loa andmine riigihanke ""Vältimatu sotsiaalabi teenus 2017-2019"" korraldamiseks"" eelnõu.2. Ettekandjaks linnavolikogus määrata abilinnapea Artjom Suvorov."
"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/G1BECDFEC2916BB2BC225801900465AA3?OpenDocument"	"1. Kiita heaks ja esitada Tartu Linnavolikogule otsuse ""Loa andmine riigihanke ""Viipekeele tõlketeenus 2017-2018"" korraldamiseks"" eelnõu.2. Ettekandjaks linnavolikogus määrata abilinnapea Artjom Suvorov."
"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/G7F061BFE2A212B1DC2257FE6003CD02A?OpenDocument"	"1.  kooskõlastada ja esitada Tartu Linnavolikogule otsuse ""Tartumaa maakonnaplaneeringu ja keskkonnamõju strateegilise hindamise aruande kooskõlastamine"" eelnõu.2. määrata ettekandjaks linnavolikogus abilinnapea Jarno Laur."
"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/G93EE5E1EEC23EBB2C225800B00227FC2?OpenDocument"	"1. Esitada Tartu Linnavolikogule otsuse ""Kalda tee 1c ja Ihaste tee 3 kruntide detailplaneeringu vastuvõtmine ja avalikule väljapanekule suunamine"" eelnõu.2. Ettekandjaks Tartu Linnavolikogus määrata abilinnapea Jarno Laur."
"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/G321C85FB42B755F3C22580170029303A?OpenDocument"	"1. Esitada Tartu Linnavolikogule otsuse ""Ilmatsalu tn 11 krundi detailplaneeringu kehtestamine"" eelnõu.2. Ettekandjaks Tartu Linnavolikogus määrata abilinnapea Jarno Laur."
"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/G7E1871C50556CD82C2257FBE0047C811?OpenDocument"	"1. kiita heaks ja esitada Tartu Linnavolikogu otsuse ""Tartu Linnavolikogu otsuste kehtetuks tunnistamine"" eelnõu;2. ettekandjaks linnavolikogus määrata abilinnapea Tiia Teppan."
"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/GF373C3E4163AAEBAC2257FD4002A93B6?OpenDocument"	"1. Lubada korraldada konsolideeritud riigihange Fr.R.Kreutzwaldi tn kergliiklustee ehitamiseks volitades Maanteeametit viima läbi riigihanget ja täitma kõiki riigihanke korraldamisega seotud riigihangete seadusest tulenevaid kohustusi ja tegema hankemenetlusega seotud toiminguid. 2. Rekonstrueerimistöid finantseeritakse 2016. ja 2017. eelarvelistest vahenditest."
"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/G8A65AE7E66A37145C2257FCB0021AB35?OpenDocument"	"1. kiita heaks ja esitada Tartu linnavolikogule otsuse eelnõu: ""Loa andmine riigihanke ""Lossi tn 2 ja Vabaduse pst 8 tualettide rent ja hooldus"" korraldamiseks2. Ettekandjaks linnavolikogus määrata abilinnapea Valvo Semilarski."
