"Url"	"Sisu"
"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/GE3B39DE266F0FBB0C225804C001B629A?OpenDocument"	"1. Arvata välja linnavolikogu arengu- ja planeerimiskomisjoni koosseisust Triin Anette Kaasik.2. Kinnitada linnavolikogu arengu- ja planeerimiskomisjoni liikmeks Ragnar Kekkonen.3. Otsus jõustub teatavakstegemisest."
"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/G6CF8DA994C527827C225804C001B588B?OpenDocument"	"1. Lubada linnavalitsusel korraldada riigihange avaliku bussiliiniveo teenuse pakkuja leidmiseks Tartu linnas kümneks aastaks. 2. Otsus jõustub viiendal päeval pärast vastuvõtmist."
"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/G6248AFE05209A9E6C225804C001B4F00?OpenDocument"	"1. Lubada linnavalitsusel korraldada tugiisikuteenuse riigihange aastateks 2017-2019. 2. Otsus jõustub viiendal päeval pärast vastuvõtmist."
"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/GA8996F3BB1FE5FB5C225804C001B1948?OpenDocument"	"1. Lubada linnavalitsusel korraldada perekülastusteenuse riigihange aastateks 2017-2019.2. Otsus jõustub viiendal päeval pärast vastuvõtmist."
"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/GEA4D16045FAA5593C225804C001AE52E?OpenDocument"	"1. Lubada linnavalitsusel sõlmida äriruumi üürileping Tartus, Narva mnt 177 hoones asuvate ruumide üldpinnaga 497 m2 kasutusele võtmiseks Tartu Linnamuuseumi kogude hoidla- ja tööruumidena alates 1. novembrist 2016. a tähtajaga kümme aastat, üüriga 5 eurot/m2 kuus.2. Otsus jõustub viiendal päeval pärast vastuvõtmist."
"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/GE32A55B65A354A18C2258030001A2AD8?OpenDocument"	"1. Taotleda Tartu linna munitsipaalomandisse kohaliku omavalitsusüksuse ülesannete täitmiseks ja arenguks vajaliku maana Vaksali tänav T45 maaüksus pindalaga 3935 m², maakasutuse sihtotstarbega transpordimaa (L). 2. Linnavalitsusel esitada taotlus koos kõigi vajalike lisamaterjalidega keskkonnaministrile punktis 1 nimetatud maade munitsipaliseerimiseks. 3. Otsus jõustub viiendal päeval pärast vastuvõtmist."
"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/GA392DA983EAD85BDC2258030001A22AD?OpenDocument"	"1. Taotleda maareformi seaduse § 28 lg 1 p 4 alusel Tartu linna munitsipaalomandisse sotsiaalmaana  Timuti tn 56 maaüksus pindalaga 10 476 m², maakasutuse sihtotstarbega üldkasutatav maa (Üm).2. Taotleda maareformi seaduse § 28 lg 1 p 10 alusel Tartu linna munitsipaalomandisse transpordimaana munitsipaalomandis oleva maaga piirnev ja liitmiseks sobiv Aardla tänav T26 maaüksus pindalaga 467 m², maakasutuse sihtotstarbega transpordimaa (L).3. Taotleda maareformi seaduse § 28 lg 1 p 10 alusel Tartu linna munitsipaalomandisse transpordimaana munitsipaalomandis oleva maaga piirnev ja liitmiseks sobiv Vaksali tänav T36 maaüksus pindalaga 21 m², maakasutuse sihtotstarbega transpordimaa (L).4. Otsus jõustub viiendal päeval pärast vastuvõtmist."
"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/G9FC78F703F4A1BF0C2258030001A1A68?OpenDocument"	"1. Lubada Tartu linnavalitsusel korraldada riigihange Tartu linna haldushoonete koristusteenuse ostmiseks perioodil 01.01.2017 - 31.12.2019. Riigihankega ostetakse koristusteenust järgmistele haldushoonetele: Jaani 7, Raekoda, Raekoja plats 3, Raekoja plats 12, Küüni 1, Küüni 3, Küüni 5, Kaunase pst 22, Ülikooli 11 ja Küütri 3.2. Otsus jõustub viiendal päeval pärast vastuvõtmist."
"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/GDA868A70304F8116C2258030001A11A5?OpenDocument"	"1. Lubada linnavalitsusel korraldada riigihange Tartu linnale vara- ja üldise tsiviilvastutuskindlustuse ostmiseks perioodil 01.01.2017. a kuni 31.12.2019. a.2. Otsus jõustub viiendal päeval pärast vastuvõtmist."
"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/G4846BA4A54C437F1C2258030001A086F?OpenDocument"	"1. Lubada linnavalitsusel korraldada riigihange ""Autokütuse ostmine 01.01.2017. a kuni 31.12.2019. a"" raamlepingu sõlmimiseks Tartu Linnavalitsuse struktuuriüksustele ja linnavalitsuse hallatavatele asutustele autokütuse (autobensiin oktaanarvuga 95 ja 98 ning diislikütus) ostmiseks.2. Otsus jõustub viiendal päeval pärast vastuvõtmist."
